alpha b0 d sigma tau Gmean Gstd
0 1.1 1 1 1 0.099587 0.0339842
0 1.3 1 1 1 0.298699 0.029793
0 1.5 1 1 1 0.50076 0.0314763
0 1.7 1 1 1 inf -nan
0 1.9 1 1 1 inf -nan

0.1 1.1 1 1 1 0.0158763 0.0290427
0.1 1.3 1 1 1 0.200356 0.0263867
0.1 1.5 1 1 1 0.372594 0.0257531
0.1 1.7 1 1 1 0.541865 0.0251531
0.1 1.9 1 1 1 inf -nan

0.2 1.1 1 1 1 -0.0277518 0.0232727
0.2 1.3 1 1 1 0.146077 0.0271394
0.2 1.5 1 1 1 0.300609 0.0222824
0.2 1.7 1 1 1 0.457221 0.0239335
0.2 1.9 1 1 1 0.593816 0.0238181

0.3 1.1 1 1 1 -0.046662 0.0219777
0.3 1.3 1 1 1 0.113676 0.0207169
0.3 1.5 1 1 1 0.25937 0.02084
0.3 1.7 1 1 1 0.396724 0.0210386
0.3 1.9 1 1 1 0.522721 0.0193005

0.4 1.1 1 1 1 -0.060661 0.0227473
0.4 1.3 1 1 1 0.0913087 0.0213005
0.4 1.5 1 1 1 0.23003 0.0206987
0.4 1.7 1 1 1 0.355919 0.017536
0.4 1.9 1 1 1 0.472123 0.0173991

0.5 1.1 1 1 1 -0.0682115 0.0224609
0.5 1.3 1 1 1 0.078338 0.0203072
0.5 1.5 1 1 1 0.209616 0.0167817
0.5 1.7 1 1 1 0.324936 0.0176769
0.5 1.9 1 1 1 0.429719 0.0148083

0.6 1.1 1 1 1 -0.0727719 0.020183
0.6 1.3 1 1 1 0.0688498 0.0184272
0.6 1.5 1 1 1 0.187478 0.0154583
0.6 1.7 1 1 1 0.296158 0.0151857
0.6 1.9 1 1 1 0.394099 0.0143466

0.7 1.1 1 1 1 -0.0728721 0.0200133
0.7 1.3 1 1 1 0.0621674 0.0159283
0.7 1.5 1 1 1 0.178558 0.0130391
0.7 1.7 1 1 1 0.27808 0.0149019
0.7 1.9 1 1 1 0.368821 0.0100898

0.8 1.1 1 1 1 -0.0736019 0.0180842
0.8 1.3 1 1 1 0.0597413 0.0180931
0.8 1.5 1 1 1 0.167757 0.013943
0.8 1.7 1 1 1 0.261825 0.0123125
0.8 1.9 1 1 1 0.346684 0.0133002

0.9 1.1 1 1 1 -0.0711016 0.0205147
0.9 1.3 1 1 1 0.0561415 0.0150897
0.9 1.5 1 1 1 0.158544 0.0137922
0.9 1.7 1 1 1 0.246986 0.0113658
0.9 1.9 1 1 1 0.32409 0.0100885

1 1.1 1 1 1 -0.066088 0.0186449
1 1.3 1 1 1 0.0541137 0.0157079
1 1.5 1 1 1 0.150034 0.0123227
1 1.7 1 1 1 0.2356 0.0120131
1 1.9 1 1 1 0.305086 0.0102044

1.1 1.1 1 1 1 -0.0635336 0.0183265
1.1 1.3 1 1 1 0.0520511 0.0122182
1.1 1.5 1 1 1 0.144891 0.0137868
1.1 1.7 1 1 1 0.221705 0.0117216
1.1 1.9 1 1 1 0.29293 0.00885879

1.2 1.1 1 1 1 -0.0622362 0.0165125
1.2 1.3 1 1 1 0.0509444 0.0141059
1.2 1.5 1 1 1 0.138396 0.0119467
1.2 1.7 1 1 1 0.212128 0.0110527
1.2 1.9 1 1 1 0.276829 0.00930247

1.3 1.1 1 1 1 -0.0571962 0.0163023
1.3 1.3 1 1 1 0.0523045 0.0128402
1.3 1.5 1 1 1 0.132814 0.0111533
1.3 1.7 1 1 1 0.2031 0.00965315
1.3 1.9 1 1 1 0.264815 0.00833574

1.4 1.1 1 1 1 -0.0538665 0.0146152
1.4 1.3 1 1 1 0.0477986 0.011455
1.4 1.5 1 1 1 0.127001 0.0116292
1.4 1.7 1 1 1 0.195213 0.0105449
1.4 1.9 1 1 1 0.254046 0.00720731

1.5 1.1 1 1 1 -0.0468073 0.0144661
1.5 1.3 1 1 1 0.0480339 0.0124975
1.5 1.5 1 1 1 0.125602 0.00891997
1.5 1.7 1 1 1 0.18756 0.00919754
1.5 1.9 1 1 1 0.241915 0.00787383

1.6 1.1 1 1 1 -0.0441893 0.0152172
1.6 1.3 1 1 1 0.0492142 0.0106759
1.6 1.5 1 1 1 0.122041 0.0100665
1.6 1.7 1 1 1 0.182087 0.00805058
1.6 1.9 1 1 1 0.23299 0.00660798

1.7 1.1 1 1 1 -0.0421265 0.0147907
1.7 1.3 1 1 1 0.0465609 0.0110578
1.7 1.5 1 1 1 0.116676 0.00945411
1.7 1.7 1 1 1 0.174398 0.00810892
1.7 1.9 1 1 1 0.224252 0.00764728

1.8 1.1 1 1 1 -0.0385135 0.0141906
1.8 1.3 1 1 1 0.0473019 0.0109027
1.8 1.5 1 1 1 0.115031 0.0084485
1.8 1.7 1 1 1 0.168981 0.00827265
1.8 1.9 1 1 1 0.216722 0.00738358

1.9 1.1 1 1 1 -0.0373355 0.0136746
1.9 1.3 1 1 1 0.0462226 0.00916322
1.9 1.5 1 1 1 0.111013 0.00916554
1.9 1.7 1 1 1 0.162127 0.00879672
1.9 1.9 1 1 1 0.209726 0.00584202

2 1.1 1 1 1 -0.0331702 0.0133504
2 1.3 1 1 1 0.0467817 0.011135
2 1.5 1 1 1 0.108218 0.00799868
2 1.7 1 1 1 0.157792 0.00711266
2 1.9 1 1 1 0.2034 0.0066547

2.1 1.1 1 1 1 -0.0310062 0.0123552
2.1 1.3 1 1 1 0.0449487 0.00843536
2.1 1.5 1 1 1 0.103747 0.00755974
2.1 1.7 1 1 1 0.152804 0.00614058
2.1 1.9 1 1 1 0.196524 0.00515968

2.2 1.1 1 1 1 -0.0301929 0.0117294
2.2 1.3 1 1 1 0.044989 0.00931925
2.2 1.5 1 1 1 0.102128 0.00838634
2.2 1.7 1 1 1 0.149333 0.00667409
2.2 1.9 1 1 1 0.189992 0.00628324

2.3 1.1 1 1 1 -0.02793 0.013174
2.3 1.3 1 1 1 0.0452163 0.0101046
2.3 1.5 1 1 1 0.101052 0.00842446
2.3 1.7 1 1 1 0.146592 0.00639974
2.3 1.9 1 1 1 0.184729 0.0051496

2.4 1.1 1 1 1 -0.0222754 0.0108904
2.4 1.3 1 1 1 0.0453698 0.00786259
2.4 1.5 1 1 1 0.0979728 0.006892
2.4 1.7 1 1 1 0.142213 0.00636518
2.4 1.9 1 1 1 0.179989 0.00589177

2.5 1.1 1 1 1 -0.0223257 0.0103914
2.5 1.3 1 1 1 0.044653 0.00838841
2.5 1.5 1 1 1 0.0943205 0.00638468
2.5 1.7 1 1 1 0.136493 0.00646895
2.5 1.9 1 1 1 0.174513 0.00535298

2.6 1.1 1 1 1 -0.021546 0.0104078
2.6 1.3 1 1 1 0.0438691 0.00817257
2.6 1.5 1 1 1 0.091599 0.00669286
2.6 1.7 1 1 1 0.133666 0.00558464
2.6 1.9 1 1 1 0.170117 0.00512121

2.7 1.1 1 1 1 -0.0182185 0.0108389
2.7 1.3 1 1 1 0.0437768 0.00874194
2.7 1.5 1 1 1 0.0908928 0.00579172
2.7 1.7 1 1 1 0.129845 0.0060704
2.7 1.9 1 1 1 0.165106 0.00507271

2.8 1.1 1 1 1 -0.0166198 0.0102232
2.8 1.3 1 1 1 0.0427638 0.00706642
2.8 1.5 1 1 1 0.0881731 0.00685089
2.8 1.7 1 1 1 0.127042 0.00571337
2.8 1.9 1 1 1 0.160825 0.00528683

2.9 1.1 1 1 1 -0.0151049 0.0107228
2.9 1.3 1 1 1 0.0422441 0.00815258
2.9 1.5 1 1 1 0.0871424 0.00610807
2.9 1.7 1 1 1 0.125068 0.00569387
2.9 1.9 1 1 1 0.157469 0.00515142

3 1.1 1 1 1 -0.0146725 0.00927415
3 1.3 1 1 1 0.0415624 0.00702581
3 1.5 1 1 1 0.0849909 0.0062098
3 1.7 1 1 1 0.121773 0.00536106
3 1.9 1 1 1 0.153143 0.00443546

3.1 1.1 1 1 1 -0.01457 0.00963498
3.1 1.3 1 1 1 0.0411693 0.00738552
3.1 1.5 1 1 1 0.0835896 0.00657809
3.1 1.7 1 1 1 0.11867 0.00522144
3.1 1.9 1 1 1 0.149812 0.00496883

3.2 1.1 1 1 1 -0.0125768 0.00953044
3.2 1.3 1 1 1 0.0403899 0.00659238
3.2 1.5 1 1 1 0.0827939 0.00644605
3.2 1.7 1 1 1 0.11655 0.00521781
3.2 1.9 1 1 1 0.145814 0.00477753

3.3 1.1 1 1 1 -0.0121283 0.00983306
3.3 1.3 1 1 1 0.0401819 0.00773255
3.3 1.5 1 1 1 0.0805846 0.00553837
3.3 1.7 1 1 1 0.114209 0.00504002
3.3 1.9 1 1 1 0.142531 0.00448894

3.4 1.1 1 1 1 -0.00969418 0.00817926
3.4 1.3 1 1 1 0.0400012 0.007298
