alpha b0 d sigma tau Gmean Gstd
0 1.249 1 0.5 0 -nan -nan
0 1.249 1 0.5 0.5 0.301185 0.0555816
0 1.249 1 0.5 1 0.250484 0.02309
0 1.249 1 0.5 1.5 0.248789 0.0122281
0 1.249 1 0.5 2 0.249343 0.00802416
0 1.249 1 0.5 2.5 0.249018 0.00588612
0 1.249 1 0.5 3 0.248836 0.00430011
0 1.249 1 0.5 3.5 0.248947 0.00356746
0 1.249 1 0.5 4 0.249027 0.00300764
0 1.249 1 0.5 4.5 0.248932 0.00230304
0 1.249 1 0.5 5 0.249087 0.00205867
0 1.249 1 0.5 5.5 0.249068 0.00179239

0.1 1.249 1 0.5 0 0.222174 0.00100827
0.1 1.249 1 0.5 0.5 0.206356 0.0136348
0.1 1.249 1 0.5 1 0.205059 0.0185755
0.1 1.249 1 0.5 1.5 0.204345 0.0240296
0.1 1.249 1 0.5 2 0.206181 0.0284937
0.1 1.249 1 0.5 2.5 0.204769 0.0304738
0.1 1.249 1 0.5 3 0.20439 0.033132
0.1 1.249 1 0.5 3.5 0.201377 0.0364264
0.1 1.249 1 0.5 4 0.205091 0.0373034
0.1 1.249 1 0.5 4.5 0.205455 0.0411225
0.1 1.249 1 0.5 5 0.204324 0.0443047
0.1 1.249 1 0.5 5.5 0.204014 0.0465127

0.2 1.249 1 0.5 0 0.200583 0.000904537
0.2 1.249 1 0.5 0.5 0.177302 0.012189
0.2 1.249 1 0.5 1 0.175602 0.0171132
0.2 1.249 1 0.5 1.5 0.173822 0.0222751
0.2 1.249 1 0.5 2 0.174859 0.0239915
0.2 1.249 1 0.5 2.5 0.176114 0.027664
0.2 1.249 1 0.5 3 0.172558 0.030564
0.2 1.249 1 0.5 3.5 0.17541 0.0325466
0.2 1.249 1 0.5 4 0.173265 0.0346309
0.2 1.249 1 0.5 4.5 0.171842 0.0371192
0.2 1.249 1 0.5 5 0.174147 0.0381158
0.2 1.249 1 0.5 5.5 0.173558 0.0427328

0.3 1.249 1 0.5 0 0.182942 0.000823694
0.3 1.249 1 0.5 0.5 0.158055 0.0106582
0.3 1.249 1 0.5 1 0.153488 0.0160547
