alpha b0 d sigma tau Gmean Gstd
0 1.249 1 0 1 0.249002 nan

0.1 1.249 1 0 1 0.221627 1.67408e-09

0.2 1.249 1 0 1 0.200027 1.4554e-09

0.3 1.249 1 0 1 0.182476 nan

0.4 1.249 1 0 1 0.167893 2.07288e-10

0.5 1.249 1 0 1 0.15556 nan

0.6 1.249 1 0 1 0.144978 1.09045e-09

0.7 1.249 1 0 1 0.135789 5.3587e-10

0.8 1.249 1 0 1 0.128489 1.01562e-09

0.9 1.249 1 0 1 0.121271 nan

1 1.249 1 0 1 0.11484 nan

1.1 1.249 1 0 1 0.109072 nan

1.2 1.249 1 0 1 0.103374 8.45563e-10

1.3 1.249 1 0 1 0.0986969 3.84136e-10

1.4 1.249 1 0 1 0.0944319 nan

1.5 1.249 1 0 1 0.0905262 nan

1.6 1.249 1 0 1 0.0869356 4.85308e-10

1.7 1.249 1 0 1 0.083623 4.55493e-10

1.8 1.249 1 0 1 0.0805569 1.30611e-10

1.9 1.249 1 0 1 0.0777106 1.95456e-10

2 1.249 1 0 1 0.0750609 nan

2.1 1.249 1 0 1 0.072588 4.26185e-10

2.2 1.249 1 0 1 0.0702747 nan

2.3 1.249 1 0 1 0.0681057 nan

2.4 1.249 1 0 1 0.066068 nan

2.5 1.249 1 0 1 0.0641498 6.25826e-10

2.6 1.249 1 0 1 0.0623409 3.45575e-10

2.7 1.249 1 0 1 0.0606321 4.45416e-10

2.8 1.249 1 0 1 0.0590152 nan

2.9 1.249 1 0 1 0.0574831 3.8861e-10

3 1.249 1 0 1 0.0560292 1.16787e-10

3.1 1.249 1 0 1 0.0546475 4.06197e-10

3.2 1.249 1 0 1 0.0533329 3.14672e-10

3.3 1.249 1 0 1 0.0520805 3.79478e-10

3.4 1.249 1 0 1 0.050886 4.24804e-10

3.5 1.249 1 0 1 0.0497455 nan

3.6 1.249 1 0 1 0.0486553 3.62949e-10

3.7 1.249 1 0 1 0.0476122 nan

3.8 1.249 1 0 1 0.0466132 3.00016e-10

3.9 1.249 1 0 1 0.0456555 2.27049e-10

4 1.249 1 0 1 0.0447366 nan

4.1 1.249 1 0 1 0.0438542 2.50904e-10

4.2 1.249 1 0 1 0.0430062 2.80976e-10

4.3 1.249 1 0 1 0.0421905 2.40419e-10

4.4 1.249 1 0 1 0.0414054 3.03499e-10

4.5 1.249 1 0 1 0.0406491 3.20304e-10

4.6 1.249 1 0 1 0.0399919 nan

4.7 1.249 1 0 1 0.0392862 nan

4.8 1.249 1 0 1 0.0386052 nan

4.9 1.249 1 0 1 0.0379475 2.14952e-10

5 1.249 1 0 1 0.037312 1.51857e-10

5.1 1.249 1 0 1 0.0366975 2.43145e-10

5.2 1.249 1 0 1 0.0361031 3.2736e-10

5.3 1.249 1 0 1 0.0355277 nan

5.4 1.249 1 0 1 0.0349705 nan

5.5 1.249 1 0 1 0.0344306 3.09763e-10

5.6 1.249 1 0 1 0.0339072 nan

5.7 1.249 1 0 1 0.0333995 2.99167e-10

5.8 1.249 1 0 1 0.0329069 1.41165e-10

5.9 1.249 1 0 1 0.0324287 1.78682e-10

6 1.249 1 0 1 0.0319643 nan

6.1 1.249 1 0 1 0.0315131 nan

6.2 1.249 1 0 1 0.0310745 nan

6.3 1.249 1 0 1 0.030648 1.87071e-10

6.4 1.249 1 0 1 0.0302331 6.38301e-11

6.5 1.249 1 0 1 0.0298294 1.42251e-10

6.6 1.249 1 0 1 0.0294364 nan

6.7 1.249 1 0 1 0.0290536 1.71813e-10

6.8 1.249 1 0 1 0.0286807 1.15051e-10

6.9 1.249 1 0 1 0.0283174 nan

7 1.249 1 0 1 0.0279631 2.22027e-10

7.1 1.249 1 0 1 0.0276177 nan

7.2 1.249 1 0 1 0.0272808 nan

7.3 1.249 1 0 1 0.026952 nan

7.4 1.249 1 0 1 0.0266311 1.78425e-10

7.5 1.249 1 0 1 0.0263178 7.83291e-11

7.6 1.249 1 0 1 0.0260118 1.72214e-10

7.7 1.249 1 0 1 0.0257129 nan

7.8 1.249 1 0 1 0.0254208 nan

7.9 1.249 1 0 1 0.0251353 nan

8 1.249 1 0 1 0.0248562 nan

8.1 1.249 1 0 1 0.0245833 2.01544e-10

8.2 1.249 1 0 1 0.0243163 nan

8.3 1.249 1 0 1 0.0240551 6.18939e-11

8.4 1.249 1 0 1 0.0237995 nan

8.5 1.249 1 0 1 0.0235492 1.7498e-10

8.6 1.249 1 0 1 0.0233043 nan

8.7 1.249 1 0 1 0.0230644 1.20313e-10

8.8 1.249 1 0 1 0.0228294 nan

8.9 1.249 1 0 1 0.0225992 6.36039e-11

9 1.249 1 0 1 0.0223736 2.31357e-10

9.1 1.249 1 0 1 0.0221525 5.83905e-11

9.2 1.249 1 0 1 0.0219357 1.28594e-10

9.3 1.249 1 0 1 0.0217232 nan

9.4 1.249 1 0 1 0.0215148 nan

9.5 1.249 1 0 1 0.0213103 nan

9.6 1.249 1 0 1 0.0211098 1.29276e-10

9.7 1.249 1 0 1 0.020913 nan

9.8 1.249 1 0 1 0.0207198 1.81844e-11

9.9 1.249 1 0 1 0.0205302 8.48182e-11

10 1.249 1 0 1 0.0203441 nan

