alpha b d0 sigma tau Gmean Gstd
0 1.25 1 0 0.5 inf -nan
0 1.25 1 0.2 0.5 inf -nan
0 1.25 1 0.4 0.5 inf -nan
0 1.25 1 0.6 0.5 inf -nan
0 1.25 1 0.8 0.5 inf -nan
0 1.25 1 1 0.5 inf -nan

0.1 1.25 1 0 0.5 0.222499 2.25064e-08
0.1 1.25 1 0.2 0.5 0.222909 0.00408144
0.1 1.25 1 0.4 0.5 0.222447 0.00797926
0.1 1.25 1 0.6 0.5 0.224389 0.0118149
0.1 1.25 1 0.8 0.5 0.225499 0.0163359
0.1 1.25 1 1 0.5 0.226562 0.0194723

0.2 1.25 1 0 0.5 0.200802 3.48469e-08
0.2 1.25 1 0.2 0.5 0.201271 0.00358269
0.2 1.25 1 0.4 0.5 0.202336 0.007223
0.2 1.25 1 0.6 0.5 0.204653 0.0107627
0.2 1.25 1 0.8 0.5 0.208535 0.0144148
0.2 1.25 1 1 0.5 0.210271 0.0185867

0.3 1.25 1 0 0.5 0.183175 3.26893e-08
0.3 1.25 1 0.2 0.5 0.18391 0.0032111
0.3 1.25 1 0.4 0.5 0.185688 0.00663975
0.3 1.25 1 0.6 0.5 0.18912 0.00992081
0.3 1.25 1 0.8 0.5 0.194129 0.0135222
0.3 1.25 1 1 0.5 0.200121 0.0163863

0.4 1.25 1 0 0.5 0.168531 -nan
0.4 1.25 1 0.2 0.5 0.169473 0.0031443
0.4 1.25 1 0.4 0.5 0.171961 0.0060364
0.4 1.25 1 0.6 0.5 0.176748 0.00928953
0.4 1.25 1 0.8 0.5 0.181743 0.0120645
0.4 1.25 1 1 0.5 0.191061 0.0152433

0.5 1.25 1 0 0.5 0.156146 3.48966e-08
0.5 1.25 1 0.2 0.5 0.157238 0.00286174
0.5 1.25 1 0.4 0.5 0.160473 0.00575654
0.5 1.25 1 0.6 0.5 0.165496 0.00816388
0.5 1.25 1 0.8 0.5 0.17269 0.0115156
0.5 1.25 1 1 0.5 0.181996 0.0139536

0.6 1.25 1 0 0.5 0.145521 1.67638e-08
0.6 1.25 1 0.2 0.5 0.146711 0.00273628
0.6 1.25 1 0.4 0.5 0.150276 0.00534763
0.6 1.25 1 0.6 0.5 0.156311 0.00826351
0.6 1.25 1 0.8 0.5 0.164565 0.010662
0.6 1.25 1 1 0.5 0.17413 0.0135186

0.7 1.25 1 0 0.5 0.136295 -nan
0.7 1.25 1 0.2 0.5 0.137534 0.00248207
0.7 1.25 1 0.4 0.5 0.141509 0.0050362
0.7 1.25 1 0.6 0.5 0.147827 0.00759241
0.7 1.25 1 0.8 0.5 0.156807 0.0100329
0.7 1.25 1 1 0.5 0.167742 0.0124387

0.8 1.25 1 0 0.5 0.128967 2.79397e-08
0.8 1.25 1 0.2 0.5 0.130405 0.00242988
0.8 1.25 1 0.4 0.5 0.134442 0.00470948
0.8 1.25 1 0.6 0.5 0.141208 0.00713759
0.8 1.25 1 0.8 0.5 0.150935 0.00936895
0.8 1.25 1 1 0.5 0.162785 0.0119343

0.9 1.25 1 0 0.5 0.121721 -nan
0.9 1.25 1 0.2 0.5 0.123097 0.00224626
0.9 1.25 1 0.4 0.5 0.127637 0.00440531
0.9 1.25 1 0.6 0.5 0.134432 0.0067891
0.9 1.25 1 0.8 0.5 0.144044 0.00909784
0.9 1.25 1 1 0.5 0.156853 0.0111848

1 1.25 1 0 0.5 0.115265 1.99312e-08
1 1.25 1 0.2 0.5 0.11681 0.0021392
1 1.25 1 0.4 0.5 0.121068 0.00413204
1 1.25 1 0.6 0.5 0.128887 0.00649098
1 1.25 1 0.8 0.5 0.138765 0.00838827
1 1.25 1 1 0.5 0.151191 0.0105079

1.1 1.25 1 0 0.5 0.109474 -nan
1.1 1.25 1 0.2 0.5 0.110941 0.00200534
1.1 1.25 1 0.4 0.5 0.115632 0.00412615
1.1 1.25 1 0.6 0.5 0.122798 0.00616072
1.1 1.25 1 0.8 0.5 0.133192 0.0080641
1.1 1.25 1 1 0.5 0.147137 0.00998131

1.2 1.25 1 0 0.5 0.103754 -nan
1.2 1.25 1 0.2 0.5 0.105255 0.00182474
1.2 1.25 1 0.4 0.5 0.109828 0.00375123
1.2 1.25 1 0.6 0.5 0.117467 0.00569791
1.2 1.25 1 0.8 0.5 0.127858 0.00757485
1.2 1.25 1 1 0.5 0.141228 0.00986664

1.3 1.25 1 0 0.5 0.0990592 4.74883e-09
1.3 1.25 1 0.2 0.5 0.100688 0.00178013
1.3 1.25 1 0.4 0.5 0.105404 0.00378926
1.3 1.25 1 0.6 0.5 0.112822 0.00558346
1.3 1.25 1 0.8 0.5 0.123272 0.00754981
1.3 1.25 1 1 0.5 0.137471 0.00925405

1.4 1.25 1 0 0.5 0.094778 -nan
1.4 1.25 1 0.2 0.5 0.0963715 0.00178587
1.4 1.25 1 0.4 0.5 0.101187 0.00362873
1.4 1.25 1 0.6 0.5 0.108536 0.00526186
1.4 1.25 1 0.8 0.5 0.11883 0.00731815
1.4 1.25 1 1 0.5 0.132984 0.0092082

1.5 1.25 1 0 0.5 0.0908575 -nan
1.5 1.25 1 0.2 0.5 0.0923165 0.00174059
1.5 1.25 1 0.4 0.5 0.0971972 0.00344358
1.5 1.25 1 0.6 0.5 0.104595 0.00501365
1.5 1.25 1 0.8 0.5 0.115488 0.00675451
1.5 1.25 1 1 0.5 0.129418 0.00856637

1.6 1.25 1 0 0.5 0.0872534 -nan
1.6 1.25 1 0.2 0.5 0.0888445 0.00159191
1.6 1.25 1 0.4 0.5 0.0934426 0.00325363
1.6 1.25 1 0.6 0.5 0.101014 0.00495214
1.6 1.25 1 0.8 0.5 0.112059 0.006578
1.6 1.25 1 1 0.5 0.125713 0.00816201

1.7 1.25 1 0 0.5 0.0839283 -nan
1.7 1.25 1 0.2 0.5 0.0855052 0.00157228
1.7 1.25 1 0.4 0.5 0.0902083 0.00322527
1.7 1.25 1 0.6 0.5 0.0978424 0.0046733
1.7 1.25 1 0.8 0.5 0.108604 0.0061887
1.7 1.25 1 1 0.5 0.121931 0.00769503

1.8 1.25 1 0 0.5 0.0808508 3.83994e-09
1.8 1.25 1 0.2 0.5 0.0823555 0.00151835
1.8 1.25 1 0.4 0.5 0.0869761 0.00312098
1.8 1.25 1 0.6 0.5 0.0945967 0.00466384
1.8 1.25 1 0.8 0.5 0.105284 0.00610289
1.8 1.25 1 1 0.5 0.11892 0.0076981

1.9 1.25 1 0 0.5 0.0779938 5.81611e-09
1.9 1.25 1 0.2 0.5 0.0795343 0.00142182
1.9 1.25 1 0.4 0.5 0.0840296 0.00291855
1.9 1.25 1 0.6 0.5 0.0914825 0.00444543
1.9 1.25 1 0.8 0.5 0.1021 0.00570438
1.9 1.25 1 1 0.5 0.115651 0.00762045

2 1.25 1 0 0.5 0.0753342 5.50978e-09
2 1.25 1 0.2 0.5 0.0767522 0.00145531
2 1.25 1 0.4 0.5 0.0812268 0.00281055
2 1.25 1 0.6 0.5 0.0885874 0.00408452
2 1.25 1 0.8 0.5 0.0994623 0.00587412
2 1.25 1 1 0.5 0.112534 0.00735726

2.1 1.25 1 0 0.5 0.0728522 -nan
2.1 1.25 1 0.2 0.5 0.0743435 0.00142944
2.1 1.25 1 0.4 0.5 0.0787168 0.00286104
2.1 1.25 1 0.6 0.5 0.0862814 0.00432152
2.1 1.25 1 0.8 0.5 0.0966574 0.00550084
2.1 1.25 1 1 0.5 0.109796 0.00700154

2.2 1.25 1 0 0.5 0.0705302 1.58325e-08
2.2 1.25 1 0.2 0.5 0.0720111 0.00135762
2.2 1.25 1 0.4 0.5 0.0763596 0.00272369
2.2 1.25 1 0.6 0.5 0.0838281 0.00414484
