alpha b0 d sigma tau Gmean Gstd
0 1.25 1 0 1 0.250002 6.5166e-08
0 1.25 1 0.05 1 0.250006 0.00156414
0 1.25 1 0.1 1 0.250036 0.00317243
0 1.25 1 0.15 1 0.250028 0.00474263
0 1.25 1 0.2 1 0.249997 0.00634258
0 1.25 1 0.25 1 0.250125 0.00798291
0 1.25 1 0.3 1 0.249982 0.00944893
0 1.25 1 0.35 1 0.250025 0.0109825
0 1.25 1 0.4 1 0.250083 0.0126793
0 1.25 1 0.45 1 0.249832 0.0143015
0 1.25 1 0.5 1 0.250086 0.0157872
0 1.25 1 0.55 1 0.249799 0.0172683
0 1.25 1 0.6 1 0.249646 0.0188132
0 1.25 1 0.65 1 0.249922 0.0205527
0 1.25 1 0.7 1 0.250086 0.0222031
0 1.25 1 0.75 1 0.250123 0.0237405
0 1.25 1 0.8 1 0.250148 0.0254
0 1.25 1 0.85 1 0.250485 0.0267213
0 1.25 1 0.9 1 0.249931 0.0283262
0 1.25 1 0.95 1 0.249994 0.0298869
0 1.25 1 1 1 0.250332 0.0318767
0 1.25 1 1.05 1 0.24972 0.0332497
0 1.25 1 1.1 1 0.250339 0.0346581
0 1.25 1 1.15 1 0.250139 0.0367001
0 1.25 1 1.2 1 0.249867 0.037875

0.1 1.25 1 0 1 0.222499 -nan
0.1 1.25 1 0.05 1 0.222315 0.00137532
0.1 1.25 1 0.1 1 0.221837 0.00276734
0.1 1.25 1 0.15 1 0.220984 0.00411621
0.1 1.25 1 0.2 1 0.219793 0.00549116
0.1 1.25 1 0.25 1 0.218337 0.00687241
0.1 1.25 1 0.3 1 0.216623 0.00830915
0.1 1.25 1 0.35 1 0.214435 0.0097361
0.1 1.25 1 0.4 1 0.21187 0.0109305
0.1 1.25 1 0.45 1 0.209091 0.01246
0.1 1.25 1 0.5 1 0.205891 0.0138733
0.1 1.25 1 0.55 1 0.202539 0.0152125
0.1 1.25 1 0.6 1 0.198529 0.0165769
0.1 1.25 1 0.65 1 0.194958 0.0179038
0.1 1.25 1 0.7 1 0.189777 0.0194753
0.1 1.25 1 0.75 1 0.185161 0.0206954
0.1 1.25 1 0.8 1 0.180321 0.0221629
0.1 1.25 1 0.85 1 0.174619 0.0235908
0.1 1.25 1 0.9 1 0.168482 0.0253929
0.1 1.25 1 0.95 1 0.162801 0.0262399
0.1 1.25 1 1 1 0.155402 0.0277276
0.1 1.25 1 1.05 1 0.148755 0.0293492
0.1 1.25 1 1.1 1 0.141163 0.0308115
0.1 1.25 1 1.15 1 0.134168 0.0321525
0.1 1.25 1 1.2 1 0.125899 0.0332897

0.2 1.25 1 0 1 0.200802 -nan
0.2 1.25 1 0.05 1 0.200567 0.00122388
0.2 1.25 1 0.1 1 0.199919 0.00244101
0.2 1.25 1 0.15 1 0.198747 0.00364378
0.2 1.25 1 0.2 1 0.197167 0.00492354
0.2 1.25 1 0.25 1 0.195122 0.0060967
0.2 1.25 1 0.3 1 0.192519 0.00734532
0.2 1.25 1 0.35 1 0.189424 0.00871194
0.2 1.25 1 0.4 1 0.186163 0.00984222
0.2 1.25 1 0.45 1 0.182085 0.0111572
0.2 1.25 1 0.5 1 0.177615 0.0122449
0.2 1.25 1 0.55 1 0.172799 0.0135504
0.2 1.25 1 0.6 1 0.167056 0.0149242
0.2 1.25 1 0.65 1 0.161036 0.0161069
0.2 1.25 1 0.7 1 0.155039 0.0173157
0.2 1.25 1 0.75 1 0.147856 0.0186872
0.2 1.25 1 0.8 1 0.140347 0.0200805
0.2 1.25 1 0.85 1 0.132143 0.0213887
0.2 1.25 1 0.9 1 0.123536 0.0227524
0.2 1.25 1 0.95 1 0.114402 0.0237864
0.2 1.25 1 1 1 0.10466 0.0254134
0.2 1.25 1 1.05 1 0.0940018 0.026609
0.2 1.25 1 1.1 1 0.0831747 0.0280529
0.2 1.25 1 1.15 1 0.0717959 0.0294602
0.2 1.25 1 1.2 1 0.0597473 0.0307755

0.3 1.25 1 0 1 0.183175 3.71597e-08
0.3 1.25 1 0.05 1 0.182927 0.00111035
0.3 1.25 1 0.1 1 0.182204 0.00223147
0.3 1.25 1 0.15 1 0.180895 0.00331247
0.3 1.25 1 0.2 1 0.179143 0.00439738
0.3 1.25 1 0.25 1 0.176793 0.00552591
0.3 1.25 1 0.3 1 0.173849 0.0066071
0.3 1.25 1 0.35 1 0.170768 0.00786793
0.3 1.25 1 0.4 1 0.166882 0.00894003
0.3 1.25 1 0.45 1 0.162542 0.00984139
0.3 1.25 1 0.5 1 0.157501 0.0111864
0.3 1.25 1 0.55 1 0.152177 0.0122989
0.3 1.25 1 0.6 1 0.146057 0.0135392
0.3 1.25 1 0.65 1 0.139155 0.0146476
0.3 1.25 1 0.7 1 0.131856 0.0157844
0.3 1.25 1 0.75 1 0.123869 0.0169823
0.3 1.25 1 0.8 1 0.115342 0.0182468
0.3 1.25 1 0.85 1 0.10621 0.0193878
0.3 1.25 1 0.9 1 0.0961259 0.0207372
0.3 1.25 1 0.95 1 0.0857795 0.0219834
0.3 1.25 1 1 1 0.0737115 0.0232911
0.3 1.25 1 1.05 1 0.0623528 0.0245353
0.3 1.25 1 1.1 1 0.0491587 0.0260377
