alpha b0 d sigma tau Gmean Gstd Tmean Tstd
0 1.25 1 0.6 1 0.249266 0.018127 20371.1 20023.2
0 1.25 1 0.8 1 0.253181 0.0263393 799.416 801.289
0 1.25 1 1 1 0.24725 0.0309034 202.599 182.97
0 1.25 1 1.2 1 0.256437 0.0413625 92.8687 84.2526
0.1 1.25 1 0.6 1 0.199893 0.0122217 19365.5 18759.3
0.1 1.25 1 0.8 1 0.182203 0.0228526 659.653 649.342
0.1 1.25 1 1 1 0.152933 0.0304234 149.873 135.988
0.1 1.25 1 1.2 1 0.122842 0.03386 69.882 58.0253
0.2 1.25 1 0.6 1 0.167586 0.0145633 24530.4 22620.2
0.2 1.25 1 0.8 1 0.140416 0.0211032 514.978 484.782
0.2 1.25 1 1 1 0.104175 0.0223367 131.43 116.655
0.2 1.25 1 1.2 1 0.0559718 0.0269848 63.4222 52.0718
0.3 1.25 1 0.6 1 0.147286 0.0141543 31182.1 27057.1
0.3 1.25 1 0.8 1 0.115205 0.0166398 562.416 509.123
0.3 1.25 1 1 1 0.073788 0.0215404 125.831 106.306
0.3 1.25 1 1.2 1 0.021529 0.0311609 58.4633 47.9047
0.4 1.25 1 0.6 1 0.131751 0.0117734 38360.7 32463.7
0.4 1.25 1 0.8 1 0.100148 0.0185599 554.276 534.38
0.4 1.25 1 1 1 0.0579279 0.021178 119.043 98.6025
0.4 1.25 1 1.2 1 -0.00226698 0.0257149 53.6782 41.4316
0.5 1.25 1 0.6 1 0.118916 0.00980362 49492.2 34550.4
0.5 1.25 1 0.8 1 0.0864518 0.0164893 682.236 662.485
0.5 1.25 1 1 1 0.0429222 0.0224211 127.458 110.807
0.5 1.25 1 1.2 1 -0.0194542 0.029074 53.6181 41.058
0.6 1.25 1 0.6 1 0.11088 0.0109939 61985.1 36505.1
0.6 1.25 1 0.8 1 0.0798241 0.0157546 699.033 666.623
0.6 1.25 1 1 1 0.0349323 0.0177 133.28 106.64
0.6 1.25 1 1.2 1 -0.0262631 0.0223275 54.247 43.1166
0.7 1.25 1 0.6 1 0.102602 0.00930565 75379.1 33354.3
0.7 1.25 1 0.8 1 0.0727705 0.0140059 866.904 839.131
0.7 1.25 1 1 1 0.0332762 0.0180696 139.856 112.616
0.7 1.25 1 1.2 1 -0.0324602 0.0270431 52.2317 39.4409
0.8 1.25 1 0.6 1 0.0983059 0.00962426 81627.7 30231.8
0.8 1.25 1 0.8 1 0.0692412 0.0133255 951.691 939.05
0.8 1.25 1 1 1 0.0296128 0.0151031 152.598 128.861
0.8 1.25 1 1.2 1 -0.0318131 0.0219778 59.7781 46.934
0.9 1.25 1 0.6 1 0.0922663 0.00883145 89908.6 24188.4
0.9 1.25 1 0.8 1 0.0665399 0.0132084 1165.63 1090.04
0.9 1.25 1 1 1 0.0270348 0.0184854 156.326 126.699
0.9 1.25 1 1.2 1 -0.0291866 0.0208038 59.2381 45.1785
1 1.25 1 0.6 1 0.0872833 0.00875957 94049.5 18643.8
1 1.25 1 0.8 1 0.0621088 0.01245 1459.87 1514.35
1 1.25 1 1 1 0.0262336 0.0152726 172.97 135.772
1 1.25 1 1.2 1 -0.0314408 0.0219331 60.474 46.2621
1.1 1.25 1 0.6 1 0.0840084 0.00879102 96001.9 15894.1
1.1 1.25 1 0.8 1 0.0613849 0.0111397 1764.51 1684.48
1.1 1.25 1 1 1 0.0250778 0.0148288 189.309 157.118
1.1 1.25 1 1.2 1 -0.0297718 0.0206521 64.133 51.2149
1.2 1.25 1 0.6 1 0.0785379 0.00700971 97918.7 11708.4
1.2 1.25 1 0.8 1 0.0584575 0.0108926 2202.41 2075.24
1.2 1.25 1 1 1 0.0249628 0.0140486 209.028 178.914
1.2 1.25 1 1.2 1 -0.0290847 0.0212031 69.1711 51.316
1.3 1.25 1 0.6 1 0.075798 0.00656625 98424.5 10169.6
1.3 1.25 1 0.8 1 0.0578765 0.0115081 2677.41 2730.2
1.3 1.25 1 1 1 0.0255338 0.0136341 234.984 199.046
1.3 1.25 1 1.2 1 -0.0231289 0.0195501 69.3354 53.8445
1.4 1.25 1 0.6 1 0.0735257 0.00659484 98700.8 9339.62
1.4 1.25 1 0.8 1 0.0567321 0.00975808 3480.1 3548.78
1.4 1.25 1 1 1 0.0264747 0.0126025 261.812 230.179
1.4 1.25 1 1.2 1 -0.0195744 0.0182613 78.6829 60.8403
1.5 1.25 1 0.6 1 0.0719133 0.00584983 99528 5661.97
1.5 1.25 1 0.8 1 0.0531651 0.00949066 4402.86 4425.08
1.5 1.25 1 1 1 0.0279401 0.0125517 286.064 246.893
1.5 1.25 1 1.2 1 -0.0190589 0.0153106 82.4856 64.4088
1.6 1.25 1 0.6 1 0.0697509 0.00585518 99666.5 5332.72
1.6 1.25 1 0.8 1 0.0524623 0.00832015 5519.38 5248.19
1.6 1.25 1 1 1 0.0279433 0.0118908 336.155 315.195
1.6 1.25 1 1.2 1 -0.0162776 0.0180465 86.2224 72.0996
1.7 1.25 1 0.6 1 0.0670109 0.0055859 99901.9 2770.93
1.7 1.25 1 0.8 1 0.0511465 0.00873937 7210.92 7424.72
1.7 1.25 1 1 1 0.0268905 0.0128725 354.674 330.429
1.7 1.25 1 1.2 1 -0.0151842 0.0174671 92.6597 72.9751
1.8 1.25 1 0.6 1 0.0661134 0.00613228 99948.3 1633.26
1.8 1.25 1 0.8 1 0.0505623 0.00789788 9259.44 8570.62
1.8 1.25 1 1 1 0.0273826 0.0115977 403.458 361.349
1.8 1.25 1 1.2 1 -0.00881796 0.0154715 96.2053 75.2123
1.9 1.25 1 0.6 1 0.0620941 0.00605764 99929.1 2241.36
1.9 1.25 1 0.8 1 0.0501351 0.00657523 11534.2 11259
1.9 1.25 1 1 1 0.028727 0.0130601 432.198 372.552
1.9 1.25 1 1.2 1 -0.0075465 0.0173721 103.004 83.1683
2 1.25 1 0.6 1 0.0608178 0.00533021 100000 -nan
2 1.25 1 0.8 1 0.0478295 0.00755528 15157.2 15902.3
2 1.25 1 1 1 0.0267403 0.0100568 519.316 475.7
2 1.25 1 1.2 1 -0.00616523 0.0145032 108.401 87.6014
2.1 1.25 1 0.6 1 0.0598633 0.00511891 100000 -nan
2.1 1.25 1 0.8 1 0.0477028 0.00708289 19081 18842
2.1 1.25 1 1 1 0.0294773 0.009613 589.264 518.193
2.1 1.25 1 1.2 1 -0.00420317 0.0152269 115.084 92.3373
2.2 1.25 1 0.6 1 0.0577548 0.00514407 100000 -nan
2.2 1.25 1 0.8 1 0.0463982 0.00707656 24446.3 22399.5
2.2 1.25 1 1 1 0.0271692 0.0105346 642.268 592.755
2.2 1.25 1 1.2 1 -0.00421305 0.0118613 121.682 99.8483
2.3 1.25 1 0.6 1 0.0565879 0.00452424 100000 -nan
2.3 1.25 1 0.8 1 0.0459136 0.00674175 28971 26589.7
2.3 1.25 1 1 1 0.0306125 0.0099844 712.001 663.679
2.3 1.25 1 1.2 1 0.000471981 0.0132236 129.931 103.685
2.4 1.25 1 0.6 1 0.0562651 0.0052785 100000 -nan
2.4 1.25 1 0.8 1 0.0457778 0.00652732 37180.2 30326.5
2.4 1.25 1 1 1 0.0300309 0.00958814 796.434 753.358
2.4 1.25 1 1.2 1 0.000313206 0.0135592 127.7 109.078
2.5 1.25 1 0.6 1 0.0533613 0.00459187 100000 -nan
2.5 1.25 1 0.8 1 0.0440744 0.00561965 47149.4 34543.7
2.5 1.25 1 1 1 0.0292626 0.00906234 897.314 800.41
