alpha b0 d sigma tau Gmean Gstd Tmean Tstd
0 1.25 1 0.6 5 0.249469 0.0353096 128.517 116.597
0 1.25 1 0.8 5 0.249424 0.0555723 52.9663 44.7376
0 1.25 1 1 5 0.251207 0.0645524 35.6822 30.4477
0 1.25 1 1.2 5 0.240997 0.0805678 26.1402 21.721
0.1 1.25 1 0.6 5 0.191722 0.0366821 136.779 117.532
0.1 1.25 1 0.8 5 0.176816 0.0476126 55.2426 46.3834
0.1 1.25 1 1 5 0.145428 0.0610433 35.541 29.4342
0.1 1.25 1 1.2 5 0.115878 0.0704829 24.32 20.3801
0.2 1.25 1 0.6 5 0.165302 0.0326677 148.055 131.388
0.2 1.25 1 0.8 5 0.130834 0.045169 60.64 52.0331
0.2 1.25 1 1 5 0.0889757 0.0596307 37.4021 32.5572
0.2 1.25 1 1.2 5 0.0382131 0.0681305 24.5831 21.9499
0.3 1.25 1 0.6 5 0.133912 0.0302919 161.833 137.722
0.3 1.25 1 0.8 5 0.0989684 0.0385792 61.3063 48.7145
0.3 1.25 1 1 5 0.0510586 0.0552893 34.786 29.7268
0.3 1.25 1 1.2 5 -0.021147 0.0581039 25.1062 20.7408
0.4 1.25 1 0.6 5 0.121116 0.0307033 167.481 152.493
0.4 1.25 1 0.8 5 0.0779245 0.0349509 64.8642 52.6555
0.4 1.25 1 1 5 0.0239911 0.0442831 37.7399 31.5058
0.4 1.25 1 1.2 5 -0.0566435 0.0534069 24.9595 20.6799
0.5 1.25 1 0.6 5 0.105309 0.0281258 202.411 179.947
0.5 1.25 1 0.8 5 0.0585461 0.0293203 65.8118 52.8761
0.5 1.25 1 1 5 0.00808596 0.0409432 37.7614 30.4526
0.5 1.25 1 1.2 5 -0.0756069 0.0520169 24.3496 19.8482
0.6 1.25 1 0.6 5 0.0934417 0.0207786 226.619 196.962
0.6 1.25 1 0.8 5 0.0549545 0.0319653 71.3876 58.6318
0.6 1.25 1 1 5 -0.0162998 0.0387992 37.8188 31.4929
0.6 1.25 1 1.2 5 -0.0988473 0.0542375 24.4352 20.3795
0.7 1.25 1 0.6 5 0.0876109 0.0227935 247.231 218.372
0.7 1.25 1 0.8 5 0.0460119 0.035112 76.0394 61.2588
0.7 1.25 1 1 5 -0.0197701 0.0420824 40.799 33.7973
0.7 1.25 1 1.2 5 -0.116046 0.0492715 24.503 19.5406
0.8 1.25 1 0.6 5 0.0795926 0.0217707 265.175 236.719
0.8 1.25 1 0.8 5 0.0361371 0.0296784 78.4438 64.3508
0.8 1.25 1 1 5 -0.0277795 0.0380129 43.2115 36.28
0.8 1.25 1 1.2 5 -0.122738 0.0527226 24.8699 20.1599
0.9 1.25 1 0.6 5 0.073284 0.0197421 298.959 276.459
0.9 1.25 1 0.8 5 0.0324247 0.0298041 88.2414 69.6869
0.9 1.25 1 1 5 -0.0337714 0.0360727 40.91 30.9619
0.9 1.25 1 1.2 5 -0.146624 0.0524424 24.9246 21.9116
1 1.25 1 0.6 5 0.0686503 0.0176616 323.435 277.699
1 1.25 1 0.8 5 0.0261346 0.0267791 90.6517 72.5281
1 1.25 1 1 5 -0.0362665 0.0361286 41.2359 30.5451
1 1.25 1 1.2 5 -0.15754 0.0435484 26.0305 20.2761
1.1 1.25 1 0.6 5 0.0659449 0.0164622 350.637 326.307
1.1 1.25 1 0.8 5 0.0267511 0.0260812 92.8178 72.9578
1.1 1.25 1 1 5 -0.0413239 0.0321121 45.3976 38.8955
1.1 1.25 1 1.2 5 -0.161129 0.0493256 25.5129 20.4293
1.2 1.25 1 0.6 5 0.0622677 0.0160528 397.994 343.504
1.2 1.25 1 0.8 5 0.0221084 0.022635 103.872 86.5532
1.2 1.25 1 1 5 -0.0478093 0.0315141 47.4052 37.3284
1.2 1.25 1 1.2 5 -0.155324 0.0430669 25.0684 20.2705
1.3 1.25 1 0.6 5 0.0605218 0.015574 446.169 405.897
1.3 1.25 1 0.8 5 0.0172834 0.0216643 103.917 82.7619
1.3 1.25 1 1 5 -0.0426293 0.0289447 48.8707 38.1817
1.3 1.25 1 1.2 5 -0.159416 0.0425742 25.1834 19.9231
1.4 1.25 1 0.6 5 0.0563273 0.0168455 473.28 417.751
1.4 1.25 1 0.8 5 0.017511 0.0207038 115.764 92.2992
1.4 1.25 1 1 5 -0.0436358 0.0294195 49.294 38.0148
1.4 1.25 1 1.2 5 -0.161497 0.0420112 25.941 20.5581
1.5 1.25 1 0.6 5 0.0524544 0.0146586 518.059 495.547
1.5 1.25 1 0.8 5 0.0175873 0.0223199 113.727 90.2774
1.5 1.25 1 1 5 -0.0443831 0.0297997 50.5057 39.7579
1.5 1.25 1 1.2 5 -0.160519 0.0423771 26.3709 22.8966
1.6 1.25 1 0.6 5 0.0508177 0.0131363 576.989 561.881
1.6 1.25 1 0.8 5 0.017085 0.0189309 124.492 97.3318
1.6 1.25 1 1 5 -0.0407152 0.025574 53.531 41.4879
1.6 1.25 1 1.2 5 -0.159045 0.0423505 27.4098 22.946
1.7 1.25 1 0.6 5 0.0488617 0.012896 647.238 597.298
1.7 1.25 1 0.8 5 0.0157568 0.0198907 127.428 104.176
1.7 1.25 1 1 5 -0.0436951 0.0261059 52.2366 38.7657
1.7 1.25 1 1.2 5 -0.156456 0.0410444 26.9481 20.5818
1.8 1.25 1 0.6 5 0.0464585 0.0136515 716.882 649.657
1.8 1.25 1 0.8 5 0.0111848 0.0192346 127.227 105.096
1.8 1.25 1 1 5 -0.0412538 0.0259292 56.8305 46.3072
1.8 1.25 1 1.2 5 -0.156016 0.0400037 27.456 22.2187
1.9 1.25 1 0.6 5 0.0473535 0.0136215 810.544 776.489
1.9 1.25 1 0.8 5 0.0134314 0.0185399 144.252 116.051
1.9 1.25 1 1 5 -0.0418015 0.0246457 59.2987 46.9072
1.9 1.25 1 1.2 5 -0.157662 0.0419942 28.3083 21.4053
2 1.25 1 0.6 5 0.0443228 0.0125132 874.091 831.325
2 1.25 1 0.8 5 0.0142265 0.0162467 151.441 126.234
2 1.25 1 1 5 -0.0407857 0.0255083 64.6614 50.6145
2 1.25 1 1.2 5 -0.149606 0.0359537 28.0867 22.0347
2.1 1.25 1 0.6 5 0.0431661 0.0113989 924.391 888.872
2.1 1.25 1 0.8 5 0.0135095 0.0155228 165.492 129.678
2.1 1.25 1 1 5 -0.0357708 0.0238993 63.7811 48.3082
2.1 1.25 1 1.2 5 -0.148402 0.0324962 27.3715 21.1019
2.2 1.25 1 0.6 5 0.0407928 0.0119154 986.264 872.613
2.2 1.25 1 0.8 5 0.00922136 0.0156442 167.855 129.839
2.2 1.25 1 1 5 -0.0350277 0.0239625 66.1003 51.5893
2.2 1.25 1 1.2 5 -0.14714 0.0377915 28.9685 23.0724
2.3 1.25 1 0.6 5 0.0404496 0.0133039 1119.56 1031.1
2.3 1.25 1 0.8 5 0.0110141 0.0150699 174.051 137.803
2.3 1.25 1 1 5 -0.0360687 0.0219564 67.1657 51.5785
2.3 1.25 1 1.2 5 -0.142482 0.0399169 29.445 23.3597
2.4 1.25 1 0.6 5 0.0388985 0.0108012 1275.69 1183.21
2.4 1.25 1 0.8 5 0.0115333 0.0160452 191.117 157.869
2.4 1.25 1 1 5 -0.0330115 0.0216106 71.8811 54.2389
2.4 1.25 1 1.2 5 -0.140163 0.0376431 29.595 24.5359
2.5 1.25 1 0.6 5 0.0384033 0.0114178 1383.81 1337.52
2.5 1.25 1 0.8 5 0.0121836 0.0143927 201.297 171.877
2.5 1.25 1 1 5 -0.0332444 0.0201926 75.2401 58.5372
2.5 1.25 1 1.2 5 -0.141563 0.0346072 31.4006 23.6044
2.6 1.25 1 0.6 5 0.0368597 0.0114931 1545.1 1485.91
2.6 1.25 1 0.8 5 0.011317 0.014474 199.822 159.097
2.6 1.25 1 1 5 -0.0350287 0.021025 79.1725 62.0225
2.6 1.25 1 1.2 5 -0.134411 0.0307443 32.3317 26.9227
2.7 1.25 1 0.6 5 0.0365721 0.0095463 1597.11 1513.77
2.7 1.25 1 0.8 5 0.00978713 0.0134717 205.601 167.789
2.7 1.25 1 1 5 -0.0333442 0.022243 79.9461 62.7913
2.7 1.25 1 1.2 5 -0.13293 0.0286963 31.7805 25.5047
2.8 1.25 1 0.6 5 0.0350865 0.00926159 1732.25 1686.25
2.8 1.25 1 0.8 5 0.0119133 0.0147441 221.766 181.166
2.8 1.25 1 1 5 -0.0317949 0.0194518 77.4878 58.6051
2.8 1.25 1 1.2 5 -0.132505 0.0315663 32.7767 25.21
2.9 1.25 1 0.6 5 0.0337425 0.00969657 1855.56 1720.92
2.9 1.25 1 0.8 5 0.0118614 0.0127276 225.005 181.28
2.9 1.25 1 1 5 -0.0330908 0.0184115 81.2931 65.3742
2.9 1.25 1 1.2 5 -0.125059 0.0299893 32.9271 24.697
3 1.25 1 0.6 5 0.0337292 0.00945188 2187.97 1997.24
3 1.25 1 0.8 5 0.00941233 0.0126453 235.202 188.534
3 1.25 1 1 5 -0.0293544 0.0212973 87.2808 67.2855
3 1.25 1 1.2 5 -0.122011 0.0314719 33.9977 25.6378
3.1 1.25 1 0.6 5 0.0327986 0.00885784 2380.17 2294.23
3.1 1.25 1 0.8 5 0.010193 0.0129845 243.541 192.32
3.1 1.25 1 1 5 -0.0290065 0.0180283 88.8256 66.0451
3.1 1.25 1 1.2 5 -0.121853 0.0277508 34.8531 26.3599
3.2 1.25 1 0.6 5 0.0306335 0.00793818 2634.48 2604.8
3.2 1.25 1 0.8 5 0.0117615 0.012709 275.221 220.401
3.2 1.25 1 1 5 -0.0271019 0.0178019 92.986 69.1978
3.2 1.25 1 1.2 5 -0.120741 0.0262496 35.215 27.5627
3.3 1.25 1 0.6 5 0.0306916 0.00775887 2770.34 2674.12
3.3 1.25 1 0.8 5 0.0134012 0.0119423 286.824 244.846
3.3 1.25 1 1 5 -0.0267364 0.0172776 91.7113 66.7671
3.3 1.25 1 1.2 5 -0.118805 0.027056 35.8576 30.7041
3.4 1.25 1 0.6 5 0.0300042 0.00974077 3037.41 2763.6
3.4 1.25 1 0.8 5 0.00876781 0.0116366 292.478 242.013
3.4 1.25 1 1 5 -0.0228233 0.0155971 94.5762 69.5934
3.4 1.25 1 1.2 5 -0.113172 0.0313947 35.9446 28.7503
3.5 1.25 1 0.6 5 0.0292372 0.00743207 3389.77 3193.79
3.5 1.25 1 0.8 5 0.010159 0.0123619 311.265 251.227
3.5 1.25 1 1 5 -0.0216731 0.0181726 101.93 75.6008
3.5 1.25 1 1.2 5 -0.108027 0.0291135 34.935 27.4345
3.6 1.25 1 0.6 5 0.0293851 0.00677002 3618.67 3533.27
3.6 1.25 1 0.8 5 0.0125629 0.0111977 310.2 246.41
3.6 1.25 1 1 5 -0.0218014 0.0158018 96.0113 72.3529
3.6 1.25 1 1.2 5 -0.106979 0.0247076 38.2284 30.7037
3.7 1.25 1 0.6 5 0.0271253 0.00857437 4150.35 3962.31
3.7 1.25 1 0.8 5 0.010906 0.0119637 328.818 275.545
3.7 1.25 1 1 5 -0.023801 0.0160629 105.181 74.4382
3.7 1.25 1 1.2 5 -0.108238 0.0263181 37.8176 29.5773
3.8 1.25 1 0.6 5 0.0289572 0.00699062 4504.31 4432.4
3.8 1.25 1 0.8 5 0.00926629 0.0114353 335.701 284.252
3.8 1.25 1 1 5 -0.0199485 0.0166271 109.261 82.0018
3.8 1.25 1 1.2 5 -0.102981 0.0269216 40.3631 32.8837
3.9 1.25 1 0.6 5 0.0282198 0.00731895 4846.79 4846.39
3.9 1.25 1 0.8 5 0.0108752 0.0105986 363.02 299.407
3.9 1.25 1 1 5 -0.0207526 0.0149674 111.857 80.0151
3.9 1.25 1 1.2 5 -0.0979074 0.0276082 38.5591 28.7188
4 1.25 1 0.6 5 0.0271484 0.00752469 5211.86 4943.34
4 1.25 1 0.8 5 0.0112566 0.00993799 367.81 309.205
4 1.25 1 1 5 -0.020613 0.0162715 115.507 88.8741
4 1.25 1 1.2 5 -0.0970218 0.0288708 40.5266 30.642
4.1 1.25 1 0.6 5 0.0275137 0.00784152 5656.45 5145.29
4.1 1.25 1 0.8 5 0.0102827 0.00982402 379.399 318.304
4.1 1.25 1 1 5 -0.0189317 0.0144372 112.134 82.9497
4.1 1.25 1 1.2 5 -0.0930992 0.0241529 41.7312 33.5294
4.2 1.25 1 0.6 5 0.0253063 0.00732403 6651.53 6736.37
4.2 1.25 1 0.8 5 0.0104646 0.0102232 408.478 332.499
4.2 1.25 1 1 5 -0.018114 0.0156436 117.646 85.4175
4.2 1.25 1 1.2 5 -0.0875883 0.0266768 40.6434 32.4172
4.3 1.25 1 0.6 5 0.0260407 0.00677955 7282.86 7184.44
4.3 1.25 1 0.8 5 0.0116972 0.00965918 403.319 339.348
4.3 1.25 1 1 5 -0.0196321 0.0139294 121.529 91.8645
4.3 1.25 1 1.2 5 -0.0896212 0.0230769 43.283 33.2751
4.4 1.25 1 0.6 5 0.027014 0.00691127 7613.93 7585.11
4.4 1.25 1 0.8 5 0.0108536 0.00934284 457.27 368.776
4.4 1.25 1 1 5 -0.0152155 0.0145986 123 92.6323
4.4 1.25 1 1.2 5 -0.0883951 0.0231983 44.3631 33.9029
4.5 1.25 1 0.6 5 0.0246528 0.00667499 8419.43 8643.98
4.5 1.25 1 0.8 5 0.0108956 0.010079 449.453 391.781
4.5 1.25 1 1 5 -0.0168577 0.0134407 133.693 95.9418
4.5 1.25 1 1.2 5 -0.0847523 0.0247805 45.2682 33.3718
4.6 1.25 1 0.6 5 0.0244037 0.00588649 8719.5 8861.56
4.6 1.25 1 0.8 5 0.00927432 0.00835872 475.545 411.848
4.6 1.25 1 1 5 -0.0138692 0.0120824 130.31 102.622
4.6 1.25 1 1.2 5 -0.087644 0.0231504 46.565 36.7579
4.7 1.25 1 0.6 5 0.0254121 0.00601284 10084 10037.9
4.7 1.25 1 0.8 5 0.0111763 0.00951706 461.827 371.223
4.7 1.25 1 1 5 -0.0147395 0.0143912 139.719 100.2
4.7 1.25 1 1.2 5 -0.0830233 0.0203662 44.6108 34.3026
4.8 1.25 1 0.6 5 0.023771 0.00666255 11074.7 10170.9
4.8 1.25 1 0.8 5 0.0121829 0.0106463 486.784 420.783
4.8 1.25 1 1 5 -0.0138445 0.0133248 141.898 109.397
4.8 1.25 1 1.2 5 -0.0772474 0.0195974 46.8672 36.8035
4.9 1.25 1 0.6 5 0.0240574 0.00556699 11913.5 11478.7
4.9 1.25 1 0.8 5 0.0107352 0.00857831 517.68 438.185
4.9 1.25 1 1 5 -0.0141142 0.0134648 137.351 98.3915
4.9 1.25 1 1.2 5 -0.0764839 0.0193841 46.018 33.7179
5 1.25 1 0.6 5 0.0238637 0.00580988 12941.9 12399.1
5 1.25 1 0.8 5 0.010217 0.0108465 525.132 431.275
5 1.25 1 1 5 -0.0136746 0.0124289 147.776 115.054
5 1.25 1 1.2 5 -0.0737976 0.0209365 48.1391 38.1433
5.1 1.25 1 0.6 5 0.0230599 0.00563659 13915.7 13836.6
5.1 1.25 1 0.8 5 0.0109476 0.00915451 543.571 443.927
5.1 1.25 1 1 5 -0.0126843 0.0142085 150.105 117.215
5.1 1.25 1 1.2 5 -0.0756542 0.0236942 49.3381 39.2001
5.2 1.25 1 0.6 5 0.0235007 0.00574266 16398.7 16090.5
5.2 1.25 1 0.8 5 0.0118438 0.00841754 565.701 474.504
5.2 1.25 1 1 5 -0.0113355 0.0109731 150.223 115.279
5.2 1.25 1 1.2 5 -0.0692875 0.0211968 51.7421 40.8072
5.3 1.25 1 0.6 5 0.0233864 0.00543078 18128.2 17763
5.3 1.25 1 0.8 5 0.010645 0.00876684 571.72 483.261
5.3 1.25 1 1 5 -0.00859569 0.0120289 157.725 118.515
5.3 1.25 1 1.2 5 -0.0679068 0.0177966 51.4084 40.1312
5.4 1.25 1 0.6 5 0.0229052 0.00542777 18300.7 17307
5.4 1.25 1 0.8 5 0.0124133 0.00849888 597.446 545.019
5.4 1.25 1 1 5 -0.0108456 0.0120107 158.495 117.502
5.4 1.25 1 1.2 5 -0.0697798 0.0196228 52.5171 39.9756
5.5 1.25 1 0.6 5 0.0219587 0.00571095 20695.8 20371.1
5.5 1.25 1 0.8 5 0.00998403 0.00846059 648.519 567.628
5.5 1.25 1 1 5 -0.00966087 0.011361 159.718 119.475
5.5 1.25 1 1.2 5 -0.0640725 0.0204981 51.2991 40.6947
5.6 1.25 1 0.6 5 0.0217355 0.00589743 22127.3 21005
5.6 1.25 1 0.8 5 0.0107534 0.0081278 670.263 591.631
5.6 1.25 1 1 5 -0.0105568 0.0116387 164.056 120.122
5.6 1.25 1 1.2 5 -0.0658184 0.0210233 54.8005 40.6517
5.7 1.25 1 0.6 5 0.0226048 0.0053108 24703.3 23251.9
5.7 1.25 1 0.8 5 0.0122299 0.00646727 677.33 564.964
5.7 1.25 1 1 5 -0.010499 0.0115162 166.631 124.843
5.7 1.25 1 1.2 5 -0.0619424 0.0177236 54.8593 42.6295
5.8 1.25 1 0.6 5 0.0209713 0.00552876 26544.8 23807.4
5.8 1.25 1 0.8 5 0.0102165 0.00827863 688.665 574.671
5.8 1.25 1 1 5 -0.00955685 0.0123471 172.83 124.394
5.8 1.25 1 1.2 5 -0.0648725 0.0185431 54.5413 39.8834
5.9 1.25 1 0.6 5 0.0207574 0.00486249 28744.9 26142.8
5.9 1.25 1 0.8 5 0.0102267 0.00703203 736.849 663.388
5.9 1.25 1 1 5 -0.00984834 0.0115318 187.084 140.965
5.9 1.25 1 1.2 5 -0.05998 0.0205773 52.6182 38.7694
6 1.25 1 0.6 5 0.0211154 0.00503582 32756.1 28025.2
6 1.25 1 0.8 5 0.0106362 0.00818627 757.608 672.678
6 1.25 1 1 5 -0.00669939 0.011909 178.664 129.918
6 1.25 1 1.2 5 -0.0626794 0.0196423 53.698 40.8059
6.1 1.25 1 0.6 5 0.0212365 0.00579849 32960.7 28098
6.1 1.25 1 0.8 5 0.0102606 0.00737149 775.003 735.338
6.1 1.25 1 1 5 -0.00731394 0.0105259 184.456 133.733
6.1 1.25 1 1.2 5 -0.0584315 0.0191649 55.3205 42.2304
6.2 1.25 1 0.6 5 0.0200661 0.00568284 35446.5 30380.3
6.2 1.25 1 0.8 5 0.0103609 0.00682052 826.936 704.069
6.2 1.25 1 1 5 -0.00649768 0.00844187 190.769 140.881
6.2 1.25 1 1.2 5 -0.0589745 0.0209695 58.4645 47.0957
6.3 1.25 1 0.6 5 0.020329 0.00447629 37788.5 31158.6
6.3 1.25 1 0.8 5 0.0105407 0.00830239 825.348 719.009
6.3 1.25 1 1 5 -0.00813129 0.0102197 186.002 138.932
6.3 1.25 1 1.2 5 -0.0600955 0.018498 58.1281 44.7227
6.4 1.25 1 0.6 5 0.0209258 0.00507787 40869.5 32270.4
6.4 1.25 1 0.8 5 0.0107027 0.00714242 827.024 674.524
6.4 1.25 1 1 5 -0.00597755 0.00974768 196.683 150.79
6.4 1.25 1 1.2 5 -0.0546683 0.0159254 59.9581 44.7963
6.5 1.25 1 0.6 5 0.0205399 0.00418195 43876 33612.5
6.5 1.25 1 0.8 5 0.0108799 0.00759848 844.012 725.221
6.5 1.25 1 1 5 -0.00696389 0.0109076 199.189 154.057
6.5 1.25 1 1.2 5 -0.0521612 0.0173007 61.9053 48.8504
6.6 1.25 1 0.6 5 0.0199152 0.00468148 47216.4 34091.2
6.6 1.25 1 0.8 5 0.010584 0.00679913 907.89 830.184
6.6 1.25 1 1 5 -0.00618222 0.00975044 199.352 136.863
6.6 1.25 1 1.2 5 -0.0537648 0.0184073 59.8356 46.8051
6.7 1.25 1 0.6 5 0.0192308 0.00452965 44964.8 34651.7
6.7 1.25 1 0.8 5 0.0103311 0.00749816 982.019 859.088
6.7 1.25 1 1 5 -0.00676316 0.010375 207.141 156.371
6.7 1.25 1 1.2 5 -0.0510721 0.0166881 58.6006 44.7732
6.8 1.25 1 0.6 5 0.0201701 0.0046939 50156.7 35170.3
6.8 1.25 1 0.8 5 0.00988778 0.00634485 952.171 781.858
6.8 1.25 1 1 5 -0.00803481 0.0116219 210.675 153.045
6.8 1.25 1 1.2 5 -0.0487996 0.0165133 61.4609 44.5552
6.9 1.25 1 0.6 5 0.0188759 0.00485325 51474.5 35424
6.9 1.25 1 0.8 5 0.00981728 0.00609682 942.273 846.383
6.9 1.25 1 1 5 -0.00580168 0.00928367 198.634 140.58
6.9 1.25 1 1.2 5 -0.0482387 0.0151078 59.0512 44.689
7 1.25 1 0.6 5 0.0193495 0.0044912 55324.8 35869.2
7 1.25 1 0.8 5 0.00985856 0.00700634 1021.39 875.103
7 1.25 1 1 5 -0.00747006 0.0103237 221.991 164.338
7 1.25 1 1.2 5 -0.0475889 0.0172905 63.2482 48.9088
7.1 1.25 1 0.6 5 0.0192858 0.0045112 57254 35844.1
7.1 1.25 1 0.8 5 0.0100944 0.00672045 1037.48 935.891
7.1 1.25 1 1 5 -0.00549679 0.00965697 211.608 157.294
7.1 1.25 1 1.2 5 -0.0459268 0.0161354 63.4577 48.6706
7.2 1.25 1 0.6 5 0.0190738 0.00492355 60020.2 36136.3
7.2 1.25 1 0.8 5 0.00973914 0.00669474 1049.77 923.446
7.2 1.25 1 1 5 -0.00494083 0.00943154 219.303 162.98
7.2 1.25 1 1.2 5 -0.0428504 0.0166984 60.7123 44.8608
7.3 1.25 1 0.6 5 0.0181643 0.00409699 63105.4 35585.7
7.3 1.25 1 0.8 5 0.0107771 0.00611631 1043.85 914.27
7.3 1.25 1 1 5 -0.00435433 0.00974935 228.148 168.849
7.3 1.25 1 1.2 5 -0.044546 0.014438 62.5879 48.0287
7.4 1.25 1 0.6 5 0.0194932 0.00461242 65869.5 35286.7
7.4 1.25 1 0.8 5 0.0108766 0.0067507 1113.19 1068.88
7.4 1.25 1 1 5 -0.00485912 0.00979228 221.404 164.86
7.4 1.25 1 1.2 5 -0.0443519 0.0151372 63.7256 51.4924
7.5 1.25 1 0.6 5 0.018507 0.00438271 65207.7 36159.4
7.5 1.25 1 0.8 5 0.0116674 0.00647172 1129.47 974.886
7.5 1.25 1 1 5 -0.00535563 0.00897142 236.458 187.172
7.5 1.25 1 1.2 5 -0.0440457 0.015277 60.6517 45.4212
7.6 1.25 1 0.6 5 0.0179989 0.00429814 67269.2 35811.9
7.6 1.25 1 0.8 5 0.00970938 0.00655881 1131.82 955.556
7.6 1.25 1 1 5 -0.00357776 0.00929476 232.3 181.471
7.6 1.25 1 1.2 5 -0.0422981 0.0143249 62.5288 47.1255
7.7 1.25 1 0.6 5 0.018158 0.00412658 71087.7 34471.5
7.7 1.25 1 0.8 5 0.00957169 0.00622775 1248.23 1172.15
7.7 1.25 1 1 5 -0.00424571 0.00891636 232.889 172.894
7.7 1.25 1 1.2 5 -0.0398066 0.0150092 62.7713 45.897
7.8 1.25 1 0.6 5 0.0186605 0.00421519 72966.8 34054.4
7.8 1.25 1 0.8 5 0.00985362 0.00646463 1249.12 1037.46
7.8 1.25 1 1 5 -0.00330161 0.00912975 233.965 175.915
7.8 1.25 1 1.2 5 -0.040787 0.0155191 66.1163 48.7734
7.9 1.25 1 0.6 5 0.0174796 0.00445963 72365.5 34244.7
7.9 1.25 1 0.8 5 0.00907036 0.0065949 1273.96 1166.5
7.9 1.25 1 1 5 -0.0022782 0.00854634 241.952 172.939
7.9 1.25 1 1.2 5 -0.039846 0.0157835 65.636 48.8729
8 1.25 1 0.6 5 0.0168723 0.00404425 76170.6 32779.5
8 1.25 1 0.8 5 0.0101721 0.00621652 1277.85 1102.68
8 1.25 1 1 5 -0.0039278 0.00830822 239.014 181.417
8 1.25 1 1.2 5 -0.0398817 0.0162682 65.2809 45.6988
8.1 1.25 1 0.6 5 0.0174537 0.00413768 77598.7 32193.5
8.1 1.25 1 0.8 5 0.0106477 0.00662856 1324.41 1217.71
8.1 1.25 1 1 5 -0.00302995 0.00932182 241.506 173.448
8.1 1.25 1 1.2 5 -0.0392333 0.0151083 68.9225 52.3518
8.2 1.25 1 0.6 5 0.0160404 0.0044045 77289 32797.3
8.2 1.25 1 0.8 5 0.00968209 0.00615562 1409.85 1181.23
8.2 1.25 1 1 5 -0.00322003 0.00825487 252.712 201.222
8.2 1.25 1 1.2 5 -0.0363582 0.0150998 67.7368 51.6917
8.3 1.25 1 0.6 5 0.0175937 0.00402787 79257.6 31932.4
8.3 1.25 1 0.8 5 0.00973921 0.00523161 1389.88 1239.38
8.3 1.25 1 1 5 -0.00269782 0.00838313 255.623 182.068
8.3 1.25 1 1.2 5 -0.0348034 0.0141689 65.2829 47.2417
8.4 1.25 1 0.6 5 0.0166926 0.00397518 79152 32039.4
8.4 1.25 1 0.8 5 0.0103005 0.00604537 1359.04 1203.46
8.4 1.25 1 1 5 -0.00290982 0.00882441 252.487 188.135
8.4 1.25 1 1.2 5 -0.0370577 0.0128496 66.4189 45.3736
8.5 1.25 1 0.6 5 0.0161261 0.00415184 82595 30300.8
8.5 1.25 1 0.8 5 0.0104625 0.00473107 1436.2 1204.96
8.5 1.25 1 1 5 -0.0025947 0.0077466 262.541 192.227
8.5 1.25 1 1.2 5 -0.0360384 0.014685 69.4578 50.3956
8.6 1.25 1 0.6 5 0.0163863 0.00424758 84147.9 28739.5
8.6 1.25 1 0.8 5 0.00987383 0.00613215 1485.17 1265.04
8.6 1.25 1 1 5 -0.00259864 0.00793828 257.146 186.921
8.6 1.25 1 1.2 5 -0.0359373 0.0134876 67.4512 50.0492
8.7 1.25 1 0.6 5 0.0169511 0.00377206 85380.7 27653.5
8.7 1.25 1 0.8 5 0.0106064 0.00638377 1519.09 1335.93
8.7 1.25 1 1 5 -0.0027631 0.00846724 256.634 193.012
8.7 1.25 1 1.2 5 -0.032646 0.0151172 69.4767 51.1498
8.8 1.25 1 0.6 5 0.0163305 0.00371005 85144.2 28552.9
8.8 1.25 1 0.8 5 0.00969388 0.00563958 1509.37 1361.12
8.8 1.25 1 1 5 -0.00161676 0.00775686 273.342 197.442
8.8 1.25 1 1.2 5 -0.0322753 0.0136243 71.9047 53.7686
8.9 1.25 1 0.6 5 0.0159935 0.00360342 84284.9 29466.1
8.9 1.25 1 0.8 5 0.0091438 0.00549537 1658.66 1575.28
8.9 1.25 1 1 5 -0.00149571 0.00750416 273.981 214.633
8.9 1.25 1 1.2 5 -0.0353247 0.0141633 68.7275 50.8247
9 1.25 1 0.6 5 0.0162462 0.00369272 86462.1 27382.9
9 1.25 1 0.8 5 0.0100512 0.00497739 1566.5 1485.8
